Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,LIS,CCS,TAP Portugal (TP),TAP Portugal,4037,08:34,,,,,332,,,"Direct",1638,2851,4869
- -,LIS,CDG,Air France (AF),Air France,912,02:19,,,,,319 318 320 321,,,"Direct",1638,1382,137
- -,LIS,CDG,Alitalia (AZ),Alitalia,912,02:19,,,,,319 318 320 321,,,"Codeshare",1638,1382,596
- -,LIS,CDG,easyJet (U2),easyJet,912,02:19,,,,,319,,,"Direct",1638,1382,2297
- -,LIS,CGN,Germanwings (4U),Germanwings,1149,02:47,,,,,319 320,,,"Direct",1638,344,2548
- -,LIS,CMN,Royal Air Maroc (AT),Royal Air Maroc,383,01:15,,,,,738 AT7,,,"Direct",1638,1074,4248
- -,LIS,CMN,TAP Portugal (TP),TAP Portugal,383,01:15,,,,,100 319 ER4 BEH,,,"Codeshare",1638,1074,4869
- -,LIS,CNF,TAP Portugal (TP),TAP Portugal,4619,09:44,,,,,332 343,,,"Direct",1638,2537,4869
- -,LIS,CPH,Norwegian Air Shuttle (DY),Norwegian Air Shuttle,1535,03:34,,,,,73H,,,"Direct",1638,609,3737
- -,LIS,CPH,SATA International (S4),SATA International,1535,03:34,,,,,320,,,"Codeshare",1638,609,4304
- -,LIS,CPH,TAP Portugal (TP),TAP Portugal,1535,03:34,,,,,321 320,,,"Direct",1638,609,4869
- -,LIS,DKR,TAP Portugal (TP),TAP Portugal,1736,03:58,,,,,321,,,"Direct",1638,1084,4869
- -,LIS,DLE,Ryanair (FR),Ryanair,929,02:21,,,,,738,,,"Direct",1638,1309,4296
- -,LIS,DME,S7 Airlines (S7),S7 Airlines,2430,05:21,,,,,320,,,"Codeshare",1638,4029,4329
- -,LIS,DME,TAP Portugal (TP),TAP Portugal,2430,05:21,,,,,320,,,"Direct",1638,4029,4869
- -,LIS,DUB,Aer Lingus (EI),Aer Lingus,1020,02:32,,,,,320,,,"Direct",1638,599,837
- -,LIS,DUB,Ryanair (FR),Ryanair,1020,02:32,,,,,738,,,"Direct",1638,599,4296
- -,LIS,DUS,TAP Portugal (TP),TAP Portugal,1156,02:48,,,,,319 320,,,"Direct",1638,345,4869
- -,LIS,DXB,Emirates (EK),Emirates,3811,08:07,,,,,77W,,,"Direct",1638,2188,2183
- -,LIS,DXB,TAP Portugal (TP),TAP Portugal,3811,08:07,,,,,77W,,,"Codeshare",1638,2188,4869
- -,LIS,EDI,easyJet (U2),easyJet,1214,02:55,,,,,319 320,,,"Direct",1638,535,2297
- -,LIS,EIN,Transavia Holland (HV),Transavia Holland,1120,02:44,,,,,73H 73W,,,"Direct",1638,585,5039
- -,LIS,EWR,TAP Portugal (TP),TAP Portugal,3374,07:14,,,,,343 332,,,"Direct",1638,3494,4869
- -,LIS,EWR,United Airlines (UA),United Airlines,3374,07:14,,,,,752,,,"Direct",1638,3494,5209
- -,LIS,EWR,US Airways (US),US Airways,3374,07:14,,,,,343 332,,,"Codeshare",1638,3494,5265
- -,LIS,FAO,Ryanair (FR),Ryanair,137,00:46,,,,,738,,,"Direct",1638,1626,4296
- -,LIS,FAO,SATA International (S4),SATA International,137,00:46,,,,,319 320 ER4,,,"Codeshare",1638,1626,4304
- -,LIS,FAO,TAP Portugal (TP),TAP Portugal,137,00:46,,,,,319 320 ER4,,,"Direct",1638,1626,4869
- -,LIS,FAO,US Airways (US),US Airways,137,00:46,,,,,319 320,,,"Codeshare",1638,1626,5265
- -,LIS,FCO,Alitalia (AZ),Alitalia,1141,02:46,,,,,321 319 320,,,"Codeshare",1638,1555,596
- -,LIS,FCO,TAP Portugal (TP),TAP Portugal,1141,02:46,,,,,321 319 320,,,"Direct",1638,1555,4869
- -,LIS,FNC,SATA International (S4),SATA International,599,01:41,,,,,319 320 100 321,,,"Codeshare",1638,4091,4304
- -,LIS,FNC,TAP Portugal (TP),TAP Portugal,599,01:41,,,,,319 320 100 321 332,,,"Direct",1638,4091,4869
- -,LIS,FNC,easyJet (U2),easyJet,599,01:41,,,,,319,,,"Direct",1638,4091,2297
