Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2022-11-07
Air Canada,AC2644,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2022-11-07
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP1461,Agadir (AGA),Scheduled,04:05,Arrival,1,04:05,Lisbon (LIS),2022-11-07
Air Canada,AC2646,Agadir (AGA),Scheduled,04:05,Arrival,1,04:05,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:10,Arrival,1,04:10,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-07
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-07
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,1,05:25,Lisbon (LIS),2022-11-07
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,1,05:25,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP218,Boston (BOS),Scheduled,05:35,Arrival,1,05:35,Lisbon (LIS),2022-11-07
TAP Air Portugal,TP104,Belo Horizonte Tancredo Neves (CNF),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-11-07
