Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP1035,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Aegean Airlines,A31730,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Air Canada,AC2701,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Azul,AD7223,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
SA AVIANCA,AV2495,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Azores Airlines,S48707,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
TAP Air Portugal,TP1063,Bilbao (BIO),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Azul,AD7346,Bilbao (BIO),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Azores Airlines,S48727,Bilbao (BIO),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
easyJet,U27656,Luxembourg (LUX),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2022-08-28
Eurowings,EW602,Cologne (CGN),Scheduled,12:30,Arrival,1,00:30,Lisbon (LIS),2022-08-28
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-08-28
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-08-28
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2022-08-28
TAP Air Portugal,TP1035,Barcelona (BCN),Scheduled,12:25,Arrival,2,12:25,Lisbon (LIS),2022-08-28
Aegean Airlines,A31730,Barcelona (BCN),Scheduled,12:25,Arrival,2,12:25,Lisbon (LIS),2022-08-28
