Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-19
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-19
Emirates,EK4813,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-19
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-10-19
Air Canada,AC2704,Newark (EWR),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:35,Arrival,1,05:35,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,05:45,Arrival,1,05:45,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,05:50,Arrival,1,05:50,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1544,Praia (RAI),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-19
Turkish Airlines,TK8136,Praia (RAI),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP58,Brasília (BSB),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-19
Azul,AD7202,Brasília (BSB),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-19
Emirates,EK4803,Brasília (BSB),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP104,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Azul,AD7254,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Emirates,EK4807,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1480, (DSS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Air Canada,AC2642, (DSS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Emirates,EK4809, (DSS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1497,Banjul (BJL),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1945,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Azul,AD7319,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Lufthansa,LH6945,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
LOT - Polish Airlines,LO4720,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Azores Airlines,S48006,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
United Airlines,UA6857,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP218,Boston (BOS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-19
Air Transat,TS680,Montreal (YUL),Scheduled,06:30,Arrival,1,06:30,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1101,Sevilla (SVQ),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Air Canada,AC2677,Sevilla (SVQ),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Azul,AD7347,Sevilla (SVQ),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Azores Airlines,S48745,Sevilla (SVQ),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1900,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Air Canada,AC2707,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Azul,AD7271,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Emirates,EK4788,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Luxair,LG1974,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Lufthansa,LH6973,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Azores Airlines,S48420,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Turkish Airlines,TK8111,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
United Airlines,UA6868,Faro (FAO),Scheduled,06:45,Arrival,1,06:45,Lisbon (LIS),2022-10-19
Bluebird Nordic,BO4437,Paris Charles De Gaulle (CDG),Scheduled,06:48,Arrival,1,06:48,Lisbon (LIS),2022-10-19
Air Europa,UX1159,Madrid (MAD),Scheduled,06:50,Arrival,1,06:50,Lisbon (LIS),2022-10-19
Saudia,SV6131,Madrid (MAD),Scheduled,06:50,Arrival,1,06:50,Lisbon (LIS),2022-10-19
Azul,AD8750,Campinas Viracopos (VCP),Scheduled,06:55,Arrival,1,06:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP5000,Campinas Viracopos (VCP),Scheduled,06:55,Arrival,1,06:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1023,Madrid (MAD),Scheduled,06:55,Arrival,1,06:55,Lisbon (LIS),2022-10-19
Azul,AD7330,Madrid (MAD),Scheduled,06:55,Arrival,1,06:55,Lisbon (LIS),2022-10-19
Azores Airlines,S48709,Madrid (MAD),Scheduled,06:55,Arrival,1,06:55,Lisbon (LIS),2022-10-19
United Airlines,UA6886,Madrid (MAD),Scheduled,06:55,Arrival,1,06:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-10-19
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-10-19
Emirates,EK4813,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-10-19
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:30,Arrival,2,05:30,Lisbon (LIS),2022-10-19
Air Canada,AC2704,Newark (EWR),Scheduled,05:30,Arrival,2,05:30,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:35,Arrival,2,05:35,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,05:45,Arrival,2,05:45,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,05:50,Arrival,2,05:50,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP1544,Praia (RAI),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-10-19
Turkish Airlines,TK8136,Praia (RAI),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP58,Brasília (BSB),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-10-19
Azul,AD7202,Brasília (BSB),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-10-19
Emirates,EK4803,Brasília (BSB),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-10-19
TAP Air Portugal,TP104,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:05,Arrival,2,06:05,Lisbon (LIS),2022-10-19
Azul,AD7254,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:05,Arrival,2,06:05,Lisbon (LIS),2022-10-19
