Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,1,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,2,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,3,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,4,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,5,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,6,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,7,02:40,Lisbon (LIS),2023-01-06
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,8,02:40,Lisbon (LIS),2023-01-06
KLM,KL1692,Lisbon (LIS),Scheduled,05:00,Departures,1,05:00,Amsterdam Schiphol (AMS),2023-01-06
Aeromexico,AM6641,Lisbon (LIS),Scheduled,05:00,Departures,1,05:00,Amsterdam Schiphol (AMS),2023-01-06
China Southern Airlines,CZ7665,Lisbon (LIS),Scheduled,05:00,Departures,1,05:00,Amsterdam Schiphol (AMS),2023-01-06
Delta Air Lines,DL9506,Lisbon (LIS),Scheduled,05:00,Departures,1,05:00,Amsterdam Schiphol (AMS),2023-01-06
Gol,G35563,Lisbon (LIS),Scheduled,05:00,Departures,1,05:00,Amsterdam Schiphol (AMS),2023-01-06
Korean Air,KE6440,Lisbon (LIS),Scheduled,05:00,Departures,1,05:00,Amsterdam Schiphol (AMS),2023-01-06
Lufthansa,LH1173,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-06
Air Canada,AC9083,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-06
Austrian,OS7344,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-06
Thai Airways International,TG7693,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-06
TAP Air Portugal,TP6705,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-06
