Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,1,00:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,2,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,2,12:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,3,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,3,12:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,4,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,4,12:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,5,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,5,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,5,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,5,12:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,6,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,6,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,6,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,6,12:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,7,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,7,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,7,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,7,12:45,Lisbon (LIS),2022-10-23
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,8,12:35,Lisbon (LIS),2022-10-23
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,8,12:35,Lisbon (LIS),2022-10-23
Ryanair,FR3610,Brussels Charleroi (CRL),Scheduled,12:40,Arrival,8,12:40,Lisbon (LIS),2022-10-23
Ryanair,FR1421,Pisa (PSA),Scheduled,12:45,Arrival,8,12:45,Lisbon (LIS),2022-10-23
Ryanair,FR2180,Lisbon (LIS),Scheduled,12:35,Departures,1,00:35,Bordeaux (BOD),2022-10-23
TAP Air Portugal,TP253,Lisbon (LIS),Scheduled,12:35,Departures,1,00:35,Montreal (YUL),2022-10-23
