Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Azores Airlines,S4 128,Ponta Delgada (PDL),Landed,12:50,Arrival,1,00:50,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 6626,Ponta Delgada (PDL),Landed,12:50,Arrival,1,00:50,Lisbon (LIS),2022-05-20
Swiftair,SWT 132,Terceira Island (TER),Landed (Delayed),02:00,Arrival,1,02:00,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 74,Rio De Janeiro (GIG),Cancelled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-20
Azul,AD 7278,Rio De Janeiro (GIG),Cancelled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-20
Emirates,EK 4813,Rio De Janeiro (GIG),Cancelled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-20
Azul,AD 7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 202,Newark (EWR),Landed,05:30,Arrival,2,05:30,Lisbon (LIS),2022-05-20
Air Canada,AC 2704,Newark (EWR),Landed,05:30,Arrival,2,05:30,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 224,Miami (MIA),Landed (Delayed),05:35,Arrival,2,05:35,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 260,Toronte (YYZ),Landed,05:45,Arrival,2,05:45,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 232,Dulles (IAD),Landed,05:50,Arrival,2,05:50,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1544,Praia (RAI),Landed (Delayed),05:55,Arrival,2,05:55,Lisbon (LIS),2022-05-20
Turkish Airlines,TK 8136,Praia (RAI),Landed (Delayed),05:55,Arrival,2,05:55,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 58,Brasília (BSB),Landed (Delayed),05:55,Arrival,2,05:55,Lisbon (LIS),2022-05-20
Azul,AD 7202,Brasília (BSB),Landed (Delayed),05:55,Arrival,2,05:55,Lisbon (LIS),2022-05-20
Emirates,EK 4803,Brasília (BSB),Landed (Delayed),05:55,Arrival,2,05:55,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1480, (DSS),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Emirates,EK 4809, (DSS),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 104,Belo Horizonte Tancredo Neves (CNF),Landed (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Azul,AD 7254,Belo Horizonte Tancredo Neves (CNF),Landed (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Emirates,EK 4807,Belo Horizonte Tancredo Neves (CNF),Landed (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1497,Banjul (BJL),Landed (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1945,Porto (OPO),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Azul,AD 7319,Porto (OPO),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Lufthansa,LH 6945,Porto (OPO),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
LOT - Polish Airlines,LO 4720,Porto (OPO),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Azores Airlines,S4 8006,Porto (OPO),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
United Airlines,UA 6857,Porto (OPO),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 218,Boston (BOS),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1548,Sal (SID),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Emirates,EK 4829,Sal (SID),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
Turkish Airlines,TK 8139,Sal (SID),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1532,Sao Tome Is (TMS),Landed (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1101,Sevilla (SVQ),Landed,06:45,Arrival,3,06:45,Lisbon (LIS),2022-05-20
Azul,AD 7347,Sevilla (SVQ),Landed,06:45,Arrival,3,06:45,Lisbon (LIS),2022-05-20
Azores Airlines,S4 8745,Sevilla (SVQ),Landed,06:45,Arrival,3,06:45,Lisbon (LIS),2022-05-20
ASL Airlines Belgium,3V 4437,Paris CDG (CDG),Landed (Delayed),06:48,Arrival,3,06:48,Lisbon (LIS),2022-05-20
TAP Air Portugal,TP 1900,Faro (FAO),Landed,06:50,Arrival,3,06:50,Lisbon (LIS),2022-05-20
Azul,AD 7271,Faro (FAO),Landed,06:50,Arrival,3,06:50,Lisbon (LIS),2022-05-20
Emirates,EK 4788,Faro (FAO),Landed,06:50,Arrival,3,06:50,Lisbon (LIS),2022-05-20
