Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,1,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,2,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,3,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,4,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,5,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,6,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,7,02:40,Lisbon (LIS),2023-01-05
TAP Air Portugal,TP9769,Newark (EWR),Scheduled,02:40,Arrival,8,02:40,Lisbon (LIS),2023-01-05
Lufthansa,LH1173,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-05
Air Canada,AC9083,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-05
Austrian,OS7344,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-05
Thai Airways International,TG7693,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-05
TAP Air Portugal,TP6705,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-05
United Airlines,UA9159,Lisbon (LIS),Scheduled,05:10,Departures,1,05:10,Frankfurt (FRA),2023-01-05
Air France,AF1125,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
Delta Air Lines,DL8439,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
Etihad Airways,EY5926,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
Gol,G35122,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
Korean Air,KE6400,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
Kenya Airways,KQ3791,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
Azores Airlines,S47302,Lisbon (LIS),Scheduled,05:30,Departures,1,05:30,Paris Charles De Gaulle (CDG),2023-01-05
