Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP1688,Funchal (FNC),Scheduled,22:55,Arrival,1,22:55,Lisbon (LIS),2023-01-12
Azul,AD7486,Funchal (FNC),Scheduled,22:55,Arrival,1,22:55,Lisbon (LIS),2023-01-12
Azores Airlines,S48038,Funchal (FNC),Scheduled,22:55,Arrival,1,22:55,Lisbon (LIS),2023-01-12
easyJet,U27606,Funchal (FNC),Scheduled,22:55,Arrival,1,22:55,Lisbon (LIS),2023-01-12
Ryanair,FR6509,Funchal (FNC),Scheduled,23:00,Arrival,1,23:00,Lisbon (LIS),2023-01-12
Iberia,IB3118,Madrid (MAD),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
American Airlines,AA8592,Madrid (MAD),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Finnair,AY5631,Madrid (MAD),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
LATAM Airlines,LA7152,Madrid (MAD),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Qatar Airways,QR6935,Madrid (MAD),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Vueling,VY5219,Madrid (MAD),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
KLM,KL1697,Amsterdam Schiphol (AMS),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Aeromexico,AM6552,Amsterdam Schiphol (AMS),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Gol,G35661,Amsterdam Schiphol (AMS),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Korean Air,KE6407,Amsterdam Schiphol (AMS),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
Kenya Airways,KQ1697,Amsterdam Schiphol (AMS),Scheduled,23:10,Arrival,1,23:10,Lisbon (LIS),2023-01-12
TAP Air Portugal,TP1688,Funchal (FNC),Scheduled,22:55,Arrival,2,22:55,Lisbon (LIS),2023-01-12
Azul,AD7486,Funchal (FNC),Scheduled,22:55,Arrival,2,22:55,Lisbon (LIS),2023-01-12
Azores Airlines,S48038,Funchal (FNC),Scheduled,22:55,Arrival,2,22:55,Lisbon (LIS),2023-01-12
easyJet,U27606,Funchal (FNC),Scheduled,22:55,Arrival,2,22:55,Lisbon (LIS),2023-01-12
Ryanair,FR6509,Funchal (FNC),Scheduled,23:00,Arrival,2,23:00,Lisbon (LIS),2023-01-12
Iberia,IB3118,Madrid (MAD),Scheduled,23:10,Arrival,2,23:10,Lisbon (LIS),2023-01-12
American Airlines,AA8592,Madrid (MAD),Scheduled,23:10,Arrival,2,23:10,Lisbon (LIS),2023-01-12
Finnair,AY5631,Madrid (MAD),Scheduled,23:10,Arrival,2,23:10,Lisbon (LIS),2023-01-12
LATAM Airlines,LA7152,Madrid (MAD),Scheduled,23:10,Arrival,2,23:10,Lisbon (LIS),2023-01-12
Qatar Airways,QR6935,Madrid (MAD),Scheduled,23:10,Arrival,2,23:10,Lisbon (LIS),2023-01-12
