Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Lufthansa,LH1166,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
Air Canada,AC9062,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
Ethiopian Airlines,ET1567,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
Austrian,OS7327,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
Singapore Airlines,SQ2108,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
Thai Airways International,TG7692,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP6700,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
United Airlines,UA8846,Frankfurt (FRA),Scheduled,11:25,Arrival,1,11:25,Lisbon (LIS),2022-12-08
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,1,11:35,Lisbon (LIS),2022-12-08
Qatar Airways,QR4533,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,1,11:35,Lisbon (LIS),2022-12-08
easyJet,U27642,Nantes (NTE),Scheduled,11:35,Arrival,1,11:35,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP204,Newark (EWR),Scheduled,11:40,Arrival,1,11:40,Lisbon (LIS),2022-12-08
Air Canada,AC2661,Newark (EWR),Scheduled,11:40,Arrival,1,11:40,Lisbon (LIS),2022-12-08
Lufthansa,LH1166,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
Air Canada,AC9062,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
Ethiopian Airlines,ET1567,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
Austrian,OS7327,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
Singapore Airlines,SQ2108,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
Thai Airways International,TG7692,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP6700,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
United Airlines,UA8846,Frankfurt (FRA),Scheduled,11:25,Arrival,2,11:25,Lisbon (LIS),2022-12-08
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,2,11:35,Lisbon (LIS),2022-12-08
Qatar Airways,QR4533,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,2,11:35,Lisbon (LIS),2022-12-08
easyJet,U27642,Nantes (NTE),Scheduled,11:35,Arrival,2,11:35,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP204,Newark (EWR),Scheduled,11:40,Arrival,2,11:40,Lisbon (LIS),2022-12-08
Air Canada,AC2661,Newark (EWR),Scheduled,11:40,Arrival,2,11:40,Lisbon (LIS),2022-12-08
Lufthansa,LH1166,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
Air Canada,AC9062,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
Ethiopian Airlines,ET1567,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
Austrian,OS7327,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
Singapore Airlines,SQ2108,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
Thai Airways International,TG7692,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP6700,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
United Airlines,UA8846,Frankfurt (FRA),Scheduled,11:25,Arrival,3,11:25,Lisbon (LIS),2022-12-08
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,3,11:35,Lisbon (LIS),2022-12-08
Qatar Airways,QR4533,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,3,11:35,Lisbon (LIS),2022-12-08
easyJet,U27642,Nantes (NTE),Scheduled,11:35,Arrival,3,11:35,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP204,Newark (EWR),Scheduled,11:40,Arrival,3,11:40,Lisbon (LIS),2022-12-08
Air Canada,AC2661,Newark (EWR),Scheduled,11:40,Arrival,3,11:40,Lisbon (LIS),2022-12-08
Lufthansa,LH1166,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
Air Canada,AC9062,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
Ethiopian Airlines,ET1567,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
Austrian,OS7327,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
Singapore Airlines,SQ2108,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
Thai Airways International,TG7692,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP6700,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
United Airlines,UA8846,Frankfurt (FRA),Scheduled,11:25,Arrival,4,11:25,Lisbon (LIS),2022-12-08
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,4,11:35,Lisbon (LIS),2022-12-08
Qatar Airways,QR4533,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,4,11:35,Lisbon (LIS),2022-12-08
easyJet,U27642,Nantes (NTE),Scheduled,11:35,Arrival,4,11:35,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP204,Newark (EWR),Scheduled,11:40,Arrival,4,11:40,Lisbon (LIS),2022-12-08
Air Canada,AC2661,Newark (EWR),Scheduled,11:40,Arrival,4,11:40,Lisbon (LIS),2022-12-08
Lufthansa,LH1166,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
Air Canada,AC9062,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
Ethiopian Airlines,ET1567,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
Austrian,OS7327,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
Singapore Airlines,SQ2108,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
Thai Airways International,TG7692,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP6700,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
United Airlines,UA8846,Frankfurt (FRA),Scheduled,11:25,Arrival,5,11:25,Lisbon (LIS),2022-12-08
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,5,11:35,Lisbon (LIS),2022-12-08
Qatar Airways,QR4533,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,5,11:35,Lisbon (LIS),2022-12-08
easyJet,U27642,Nantes (NTE),Scheduled,11:35,Arrival,5,11:35,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP204,Newark (EWR),Scheduled,11:40,Arrival,5,11:40,Lisbon (LIS),2022-12-08
Air Canada,AC2661,Newark (EWR),Scheduled,11:40,Arrival,5,11:40,Lisbon (LIS),2022-12-08
Lufthansa,LH1166,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
Air Canada,AC9062,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
Ethiopian Airlines,ET1567,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
Austrian,OS7327,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
Singapore Airlines,SQ2108,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
Thai Airways International,TG7692,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP6700,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
United Airlines,UA8846,Frankfurt (FRA),Scheduled,11:25,Arrival,6,11:25,Lisbon (LIS),2022-12-08
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,6,11:35,Lisbon (LIS),2022-12-08
Qatar Airways,QR4533,Casablanca Mohamed V (CMN),Scheduled,11:35,Arrival,6,11:35,Lisbon (LIS),2022-12-08
easyJet,U27642,Nantes (NTE),Scheduled,11:35,Arrival,6,11:35,Lisbon (LIS),2022-12-08
TAP Air Portugal,TP204,Newark (EWR),Scheduled,11:40,Arrival,6,11:40,Lisbon (LIS),2022-12-08
Air Canada,AC2661,Newark (EWR),Scheduled,11:40,Arrival,6,11:40,Lisbon (LIS),2022-12-08
