Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Azores Airlines,S4 128,Ponta Delgada (PDL),Landed (Delayed),12:50,Arrival,1,00:50,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 6626,Ponta Delgada (PDL),Landed (Delayed),12:50,Arrival,1,00:50,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 1493,Conakry (CKY),Landed,05:10,Arrival,2,05:10,Lisbon (LIS),2022-07-07
Air Canada,AC 2644,Conakry (CKY),Landed,05:10,Arrival,2,05:10,Lisbon (LIS),2022-07-07
Emirates,EK 4805,Conakry (CKY),Landed,05:10,Arrival,2,05:10,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 74,Rio De Janeiro (GIG),Landed (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-07-07
Azul,AD 7278,Rio De Janeiro (GIG),Landed (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-07-07
Emirates,EK 4813,Rio De Janeiro (GIG),Landed (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Landed (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-07-07
Azul,AD 7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Landed (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 1459,Tangier (TNG),Cancelled,05:25,Arrival,2,05:25,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 202,Newark (EWR),Landed (Delayed),05:30,Arrival,2,05:30,Lisbon (LIS),2022-07-07
Air Canada,AC 2704,Newark (EWR),Landed (Delayed),05:30,Arrival,2,05:30,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 224,Miami (MIA),Landed (Delayed),05:35,Arrival,2,05:35,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 218,Boston (BOS),Landed (Delayed),05:40,Arrival,2,05:40,Lisbon (LIS),2022-07-07
TAP Air Portugal,TP 1528,Accra (ACC),Landed (Delayed),05:45,Arrival,2,05:45,Lisbon (LIS),2022-07-07
