Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2023-03-29
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2023-03-29
easyJet,U26708,Bastia (BIA),Scheduled,12:40,Arrival,1,00:40,Lisbon (LIS),2023-03-29
Ryanair,FR820,Bergamo (BGY),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2023-03-29
Ryanair,FR7138,Dublin (DUB),Scheduled,12:50,Arrival,1,00:50,Lisbon (LIS),2023-03-29
easyJet,U24591,Paris CDG (CDG),Scheduled,12:50,Arrival,1,00:50,Lisbon (LIS),2023-03-29
easyJet,U22209,Manchester (MAN),Scheduled,12:55,Arrival,1,00:55,Lisbon (LIS),2023-03-29
TAP Air Portugal,TP1935,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
Azul,AD7504,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
Finnair,AY6754,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
Air Baltic,BT5304,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
Lufthansa,LH6991,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
Azores Airlines,S48439,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
Turkish Airlines,TK8141,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
United Airlines,UA6888,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
easyJet,U28513,Gatwick (LGW),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-03-29
easyJet,U23871,Milan Malpensa (MXP),Scheduled,13:10,Arrival,1,13:10,Lisbon (LIS),2023-03-29
easyJet,U26748,Zurich (ZRH),Scheduled,13:10,Arrival,1,13:10,Lisbon (LIS),2023-03-29
TAP Air Portugal,TP1093,Valencia (VLC),Scheduled,13:15,Arrival,1,13:15,Lisbon (LIS),2023-03-29
Azul,AD7454,Valencia (VLC),Scheduled,13:15,Arrival,1,13:15,Lisbon (LIS),2023-03-29
Emirates,EK4897,Valencia (VLC),Scheduled,13:15,Arrival,1,13:15,Lisbon (LIS),2023-03-29
Azores Airlines,S48741,Valencia (VLC),Scheduled,13:15,Arrival,1,13:15,Lisbon (LIS),2023-03-29
