Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP1493,Conakry (CKY),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-10-24
Air Canada,AC2644,Conakry (CKY),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-10-24
Emirates,EK4805,Conakry (CKY),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-24
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-24
Emirates,EK4813,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-24
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:20,Arrival,1,05:20,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-10-24
Air Canada,AC2704,Newark (EWR),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:35,Arrival,1,05:35,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1467,Monastir (MIR),Scheduled,05:40,Arrival,1,05:40,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,05:45,Arrival,1,05:45,Lisbon (LIS),2022-10-24
Bluebird Nordic,BO4437,Porto (OPO),Scheduled,05:50,Arrival,1,05:50,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP104,Belo Horizonte Tancredo Neves (CNF),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Azul,AD7254,Belo Horizonte Tancredo Neves (CNF),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Emirates,EK4807,Belo Horizonte Tancredo Neves (CNF),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1945,Porto (OPO),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Azul,AD7319,Porto (OPO),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Lufthansa,LH6945,Porto (OPO),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
LOT - Polish Airlines,LO4720,Porto (OPO),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Azores Airlines,S48006,Porto (OPO),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
United Airlines,UA6857,Porto (OPO),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP58,Brasília (BSB),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Azul,AD7202,Brasília (BSB),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
Emirates,EK4803,Brasília (BSB),Scheduled,05:55,Arrival,1,05:55,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1469,Djerba (DJE),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1480, (DSS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
Air Canada,AC2642, (DSS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
Emirates,EK4809, (DSS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1548,Sal (SID),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
Emirates,EK4829,Sal (SID),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
Turkish Airlines,TK8139,Sal (SID),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP218,Boston (BOS),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP2334,Praia (RAI),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-10-24
TAAG,DT650,Luanda (LAD),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,06:20,Arrival,1,06:20,Lisbon (LIS),2022-10-24
Ryanair,FR3629,Sevilla (SVQ),Scheduled,06:30,Arrival,1,06:30,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP1493,Conakry (CKY),Scheduled,05:10,Arrival,2,05:10,Lisbon (LIS),2022-10-24
Air Canada,AC2644,Conakry (CKY),Scheduled,05:10,Arrival,2,05:10,Lisbon (LIS),2022-10-24
Emirates,EK4805,Conakry (CKY),Scheduled,05:10,Arrival,2,05:10,Lisbon (LIS),2022-10-24
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:20,Arrival,2,05:20,Lisbon (LIS),2022-10-24
