Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP1035,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Aegean Airlines,A31730,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Air Canada,AC2701,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Azul,AD7223,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
SA AVIANCA,AV2495,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Emirates,EK4861,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
El Al,LY9013,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Azores Airlines,S48707,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Singapore Airlines,SQ2795,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
United Airlines,UA6862,Barcelona (BCN),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
easyJet,U27664,Luxembourg (LUX),Scheduled,12:25,Arrival,1,00:25,Lisbon (LIS),2023-04-02
Eurowings,EW602,Cologne (CGN),Scheduled,12:30,Arrival,1,00:30,Lisbon (LIS),2023-04-02
TAP Air Portugal,TP276,Cancun (CUN),Scheduled,12:30,Arrival,1,00:30,Lisbon (LIS),2023-04-02
Emirates,EK4851,Cancun (CUN),Scheduled,12:30,Arrival,1,00:30,Lisbon (LIS),2023-04-02
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2023-04-02
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2023-04-02
Ryanair,FR3091,Eindhoven (EIN),Scheduled,12:40,Arrival,1,00:40,Lisbon (LIS),2023-04-02
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2023-04-02
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2023-04-02
easyJet,U22209,Manchester (MAN),Scheduled,12:55,Arrival,1,00:55,Lisbon (LIS),2023-04-02
TAP Air Portugal,TP1935,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-04-02
Azul,AD7504,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-04-02
Finnair,AY6754,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-04-02
Air Baltic,BT5304,Porto (OPO),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2023-04-02
