Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,1,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,2,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,2,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,2,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,3,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,3,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,3,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,4,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,4,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,4,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,5,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,5,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,5,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,6,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,6,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,6,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,7,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,7,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,7,04:35,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,8,03:55,Lisbon (LIS),2023-01-16
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,8,03:55,Lisbon (LIS),2023-01-16
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:35,Arrival,8,04:35,Lisbon (LIS),2023-01-16
