Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Azores Airlines,S4 128,Ponta Delgada (PDL),Scheduled (Delayed),12:50,Arrival,1,00:50,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 6626,Ponta Delgada (PDL),Scheduled (Delayed),12:50,Arrival,1,00:50,Lisbon (LIS),2022-06-19
Swiftair,SWT 132,Terceira Island (TER),Scheduled,02:00,Arrival,1,02:00,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 286,Luanda (LAD),En Route,05:20,Arrival,2,05:20,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),En Route,05:20,Arrival,2,05:20,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 74,Rio De Janeiro (GIG),En Route (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-06-19
Emirates,EK 4813,Rio De Janeiro (GIG),En Route (Delayed),05:20,Arrival,2,05:20,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1459,Tangier (TNG),Scheduled,05:25,Arrival,2,05:25,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 202,Newark (EWR),En Route,05:30,Arrival,2,05:30,Lisbon (LIS),2022-06-19
Air Canada,AC 2704,Newark (EWR),En Route,05:30,Arrival,2,05:30,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 224,Miami (MIA),En Route (Delayed),05:35,Arrival,2,05:35,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1532,Sao Tome Is (TMS),Cancelled,05:40,Arrival,2,05:40,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 260,Toronte (YYZ),En Route (Delayed),05:45,Arrival,2,05:45,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 232,Dulles (IAD),En Route,05:50,Arrival,2,05:50,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1544,Praia (RAI),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-06-19
Turkish Airlines,TK 8136,Praia (RAI),Scheduled,05:55,Arrival,2,05:55,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 104,Belo Horizonte Tancredo Neves (CNF),En Route (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Azul,AD 7254,Belo Horizonte Tancredo Neves (CNF),En Route (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Emirates,EK 4807,Belo Horizonte Tancredo Neves (CNF),En Route (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1497,Banjul (BJL),Scheduled (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1548,Sal (SID),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Emirates,EK 4829,Sal (SID),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Turkish Airlines,TK 8139,Sal (SID),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 218,Boston (BOS),En Route (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1480, (DSS),Scheduled (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Air Canada,AC 2642, (DSS),Scheduled (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Emirates,EK 4809, (DSS),Scheduled (Delayed),06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1945,Porto (OPO),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Azul,AD 7319,Porto (OPO),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Lufthansa,LH 6945,Porto (OPO),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
LOT - Polish Airlines,LO 4720,Porto (OPO),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Azores Airlines,S4 8006,Porto (OPO),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
United Airlines,UA 6857,Porto (OPO),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-06-19
Ryanair,FR 3683,Malaga (AGP),Scheduled,06:30,Arrival,3,06:30,Lisbon (LIS),2022-06-19
Air Transat,TS 680,Montreal (YUL),En Route (Delayed),06:30,Arrival,3,06:30,Lisbon (LIS),2022-06-19
TAP Air Portugal,TP 1900,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Air Canada,AC 2707,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Azul,AD 7271,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Emirates,EK 4788,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Luxair,LG 1974,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Lufthansa,LH 6973,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Azores Airlines,S4 8420,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
Turkish Airlines,TK 8111,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
United Airlines,UA 6868,Faro (FAO),Scheduled,06:50,Arrival,3,06:50,Lisbon (LIS),2022-06-19
