Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-09-07
easyJet,U21445,Geneva (GVA),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-09-07
easyJet,U23759,Paris Charles De Gaulle (CDG),Scheduled,12:40,Arrival,1,00:40,Lisbon (LIS),2022-09-07
Eurowings,EW2604,Stuttgart (STR),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2022-09-07
Ryanair,FR1300,Brussels Charleroi (CRL),Scheduled,12:50,Arrival,1,00:50,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,1,00:55,Lisbon (LIS),2022-09-07
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,1,00:55,Lisbon (LIS),2022-09-07
easyJet,U21819,Manchester (MAN),Scheduled,12:55,Arrival,1,00:55,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-09-07
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-09-07
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-09-07
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-09-07
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,1,13:10,Lisbon (LIS),2022-09-07
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-09-07
easyJet,U21445,Geneva (GVA),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-09-07
easyJet,U23759,Paris Charles De Gaulle (CDG),Scheduled,12:40,Arrival,2,12:40,Lisbon (LIS),2022-09-07
Eurowings,EW2604,Stuttgart (STR),Scheduled,12:45,Arrival,2,12:45,Lisbon (LIS),2022-09-07
Ryanair,FR1300,Brussels Charleroi (CRL),Scheduled,12:50,Arrival,2,12:50,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,2,12:55,Lisbon (LIS),2022-09-07
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,2,12:55,Lisbon (LIS),2022-09-07
easyJet,U21819,Manchester (MAN),Scheduled,12:55,Arrival,2,12:55,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-09-07
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-09-07
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-09-07
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-09-07
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,2,13:10,Lisbon (LIS),2022-09-07
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-09-07
easyJet,U21445,Geneva (GVA),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-09-07
easyJet,U23759,Paris Charles De Gaulle (CDG),Scheduled,12:40,Arrival,3,12:40,Lisbon (LIS),2022-09-07
Eurowings,EW2604,Stuttgart (STR),Scheduled,12:45,Arrival,3,12:45,Lisbon (LIS),2022-09-07
Ryanair,FR1300,Brussels Charleroi (CRL),Scheduled,12:50,Arrival,3,12:50,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,3,12:55,Lisbon (LIS),2022-09-07
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,3,12:55,Lisbon (LIS),2022-09-07
easyJet,U21819,Manchester (MAN),Scheduled,12:55,Arrival,3,12:55,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-09-07
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-09-07
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-09-07
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-09-07
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,3,13:10,Lisbon (LIS),2022-09-07
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-09-07
easyJet,U21445,Geneva (GVA),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-09-07
easyJet,U23759,Paris Charles De Gaulle (CDG),Scheduled,12:40,Arrival,4,12:40,Lisbon (LIS),2022-09-07
Eurowings,EW2604,Stuttgart (STR),Scheduled,12:45,Arrival,4,12:45,Lisbon (LIS),2022-09-07
Ryanair,FR1300,Brussels Charleroi (CRL),Scheduled,12:50,Arrival,4,12:50,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,4,12:55,Lisbon (LIS),2022-09-07
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,4,12:55,Lisbon (LIS),2022-09-07
easyJet,U21819,Manchester (MAN),Scheduled,12:55,Arrival,4,12:55,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,4,13:00,Lisbon (LIS),2022-09-07
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,4,13:00,Lisbon (LIS),2022-09-07
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,4,13:00,Lisbon (LIS),2022-09-07
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,4,13:00,Lisbon (LIS),2022-09-07
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,4,13:10,Lisbon (LIS),2022-09-07
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,5,12:35,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,5,12:35,Lisbon (LIS),2022-09-07
easyJet,U21445,Geneva (GVA),Scheduled,12:35,Arrival,5,12:35,Lisbon (LIS),2022-09-07
easyJet,U23759,Paris Charles De Gaulle (CDG),Scheduled,12:40,Arrival,5,12:40,Lisbon (LIS),2022-09-07
Eurowings,EW2604,Stuttgart (STR),Scheduled,12:45,Arrival,5,12:45,Lisbon (LIS),2022-09-07
Ryanair,FR1300,Brussels Charleroi (CRL),Scheduled,12:50,Arrival,5,12:50,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,5,12:55,Lisbon (LIS),2022-09-07
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,5,12:55,Lisbon (LIS),2022-09-07
easyJet,U21819,Manchester (MAN),Scheduled,12:55,Arrival,5,12:55,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,5,13:00,Lisbon (LIS),2022-09-07
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,5,13:00,Lisbon (LIS),2022-09-07
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,5,13:00,Lisbon (LIS),2022-09-07
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,5,13:00,Lisbon (LIS),2022-09-07
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,5,13:10,Lisbon (LIS),2022-09-07
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,6,12:35,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,6,12:35,Lisbon (LIS),2022-09-07
easyJet,U21445,Geneva (GVA),Scheduled,12:35,Arrival,6,12:35,Lisbon (LIS),2022-09-07
easyJet,U23759,Paris Charles De Gaulle (CDG),Scheduled,12:40,Arrival,6,12:40,Lisbon (LIS),2022-09-07
Eurowings,EW2604,Stuttgart (STR),Scheduled,12:45,Arrival,6,12:45,Lisbon (LIS),2022-09-07
Ryanair,FR1300,Brussels Charleroi (CRL),Scheduled,12:50,Arrival,6,12:50,Lisbon (LIS),2022-09-07
TAP Air Portugal,TP1437,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,6,12:55,Lisbon (LIS),2022-09-07
Azores Airlines,S48303,Casablanca Mohamed V (CMN),Scheduled,12:55,Arrival,6,12:55,Lisbon (LIS),2022-09-07
easyJet,U21819,Manchester (MAN),Scheduled,12:55,Arrival,6,12:55,Lisbon (LIS),2022-09-07
